                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.0397,                0.86689,                 1.2226,                0.72098,                0.61791,                0.70762,                0.38634,                 1.6676,                  1.172,                 1.5715,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.1207,                0.98965,                 1.4952,                0.65034,                0.64674,                0.68908,                0.38573,                 1.5841,                 1.2252,                 1.4894,              0.0015248,              0.0015248,              0.0015248
                     51,                 0.8483,                0.66059,                 1.0606,                0.78992,                0.63043,                0.72482,                0.41135,                 1.5384,                 1.1803,                 1.4384,              0.0015149,              0.0015149,              0.0015149
                     52,                0.85218,                0.67749,                 1.0665,                0.75098,                0.67199,                0.75236,                0.42439,                 1.6011,                  1.113,                 1.5316,               0.001505,               0.001505,               0.001505
                     53,                0.85055,                0.66125,                 1.0912,                0.73042,                0.67737,                0.74469,                0.43342,                 1.4787,                 1.0897,                  1.455,              0.0014951,              0.0014951,              0.0014951
                     54,                0.84862,                0.67931,                   1.07,                  0.703,                0.67935,                0.74254,                0.43165,                 1.4714,                 1.1754,                 1.4301,              0.0014852,              0.0014852,              0.0014852
                     55,                 0.8733,                0.68323,                 1.0789,                0.74318,                0.71196,                0.77769,                0.44542,                  1.467,                 1.0926,                 1.3758,              0.0014753,              0.0014753,              0.0014753
                     56,                0.81996,                0.64524,                 1.0668,                0.75319,                0.71739,                0.78341,                0.46361,                 1.4042,                 1.0746,                 1.4093,              0.0014654,              0.0014654,              0.0014654
                     57,                0.82108,                0.68678,                 1.1107,                0.79517,                0.67517,                0.78132,                0.44929,                 1.4385,                 1.1144,                 1.4599,              0.0014555,              0.0014555,              0.0014555
                     58,                0.85497,                0.64223,                 1.0772,                0.82726,                0.58696,                0.71061,                0.42763,                 1.4537,                 1.1721,                 1.4776,              0.0014456,              0.0014456,              0.0014456
                     59,                0.78018,                0.63086,                 1.0831,                 0.7513,                0.59239,                 0.6785,                0.39253,                 1.4603,                 1.2287,                 1.4675,              0.0014357,              0.0014357,              0.0014357
                     60,                0.77938,                 0.6188,                 1.0507,                0.70987,                0.65158,                0.66089,                0.35669,                  1.514,                 1.2706,                 1.4359,              0.0014258,              0.0014258,              0.0014258
                     61,                0.75969,                0.60891,                 1.0407,                0.79611,                 0.6154,                0.71583,                0.40226,                 1.4586,                 1.1648,                 1.4082,              0.0014159,              0.0014159,              0.0014159
                     62,                0.78341,                0.64501,                  1.052,                0.76052,                0.65584,                0.69811,                 0.3961,                 1.5343,                 1.1884,                 1.4956,               0.001406,               0.001406,               0.001406
                     63,                0.81463,                0.65384,                  1.112,                0.77448,                0.55978,                0.65851,                0.36399,                 1.6108,                 1.2083,                 1.5721,              0.0013961,              0.0013961,              0.0013961
                     64,                0.84211,                0.66052,                 1.0318,                0.76665,                0.63043,                0.70481,                0.39066,                 1.5876,                 1.2165,                 1.5571,              0.0013862,              0.0013862,              0.0013862
                     65,                0.81028,                0.66546,                 1.0738,                0.68936,                0.65761,                0.69848,                0.37229,                 1.6048,                 1.2618,                 1.5565,              0.0013763,              0.0013763,              0.0013763
                     66,                0.75281,                0.61994,                 1.0422,                 0.6796,                0.70109,                0.73791,                0.40209,                 1.5532,                 1.1455,                 1.5125,              0.0013664,              0.0013664,              0.0013664
                     67,                0.78831,                0.68738,                 1.0454,                0.78352,                0.57044,                0.67641,                0.38249,                 1.4603,                 1.2999,                 1.4189,              0.0013565,              0.0013565,              0.0013565
