                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 0.7464,                0.63322,                 1.0634,                0.82665,                0.67384,                0.77961,                0.47357,                 1.3452,                 1.0447,                 1.3349,              0.0008912,              0.0008912,              0.0008912
                     58,                0.77187,                0.63304,                 1.0345,                0.78804,                0.69565,                0.74805,                0.44707,                 1.4611,                 1.0214,                 1.4096,              0.0008714,              0.0008714,              0.0008714
                     59,                0.73138,                0.58421,                 1.0557,                0.77024,                0.66304,                  0.739,                0.45947,                 1.3581,                 1.0859,                 1.3448,              0.0008516,              0.0008516,              0.0008516
                     60,                0.71637,                0.57494,                 1.0279,                0.73431,                0.65217,                0.71672,                0.44141,                 1.4003,                 1.0961,                 1.3554,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.6967,                0.56179,                 1.0141,                0.80365,                0.64674,                0.74493,                0.46922,                 1.3465,                  1.056,                 1.3201,               0.000812,               0.000812,               0.000812
                     62,                0.72128,                0.57102,                 1.0252,                 0.7951,                0.65378,                0.76413,                0.46329,                 1.4149,                 1.0341,                 1.3684,              0.0007922,              0.0007922,              0.0007922
                     63,                0.71194,                0.55905,                 1.0373,                0.71693,                0.71196,                0.73694,                0.42852,                 1.4166,                 1.1482,                  1.378,              0.0007724,              0.0007724,              0.0007724
                     64,                0.79366,                0.62284,                 1.0123,                0.82097,                0.63043,                0.75105,                0.43096,                 1.4295,                 1.1504,                 1.4162,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.7142,                0.57498,                 1.0183,                0.81502,                0.64652,                0.77034,                0.46332,                 1.3581,                 1.0616,                 1.3883,              0.0007328,              0.0007328,              0.0007328
                     66,                0.67019,                0.56537,                 0.9958,                0.78112,                0.69822,                0.77714,                0.48675,                 1.3866,                 1.0029,                 1.4127,               0.000713,               0.000713,               0.000713
                     67,                0.70588,                0.61469,                  1.003,                0.71679,                0.66848,                0.73655,                0.44261,                 1.3892,                 1.0989,                 1.4058,              0.0006932,              0.0006932,              0.0006932
                     68,                0.76772,                0.62519,                 1.0471,                0.74071,                0.69864,                0.75272,                0.44449,                 1.3999,                 1.0765,                 1.4143,              0.0006734,              0.0006734,              0.0006734
                     69,                0.72604,                0.54422,                0.99587,                0.71545,                 0.7379,                0.77439,                0.46103,                 1.3741,                 1.0213,                 1.3791,              0.0006536,              0.0006536,              0.0006536
                     70,                0.73093,                0.53361,                0.99646,                 0.7817,                0.68116,                0.77119,                0.46881,                 1.3684,                0.99907,                 1.3652,              0.0006338,              0.0006338,              0.0006338
                     71,                0.67555,                0.54169,                 1.0029,                0.80524,                0.70109,                0.79959,                0.49487,                 1.3117,                0.96414,                 1.3478,               0.000614,               0.000614,               0.000614
                     72,                 0.7081,                0.60843,                  1.002,                0.77263,                0.68478,                0.75863,                0.48845,                 1.3097,                 0.9375,                 1.3414,              0.0005942,              0.0005942,              0.0005942
                     73,                0.67055,                0.52464,                 0.9882,                0.72481,                0.75866,                0.77855,                0.49335,                 1.3178,                0.91787,                 1.3489,              0.0005744,              0.0005744,              0.0005744
                     74,                0.69953,                0.62943,                 1.0084,                0.76016,                0.70109,                0.77451,                0.48221,                 1.3522,                0.92472,                 1.3848,              0.0005546,              0.0005546,              0.0005546
                     75,                0.64602,                0.54592,                0.98319,                0.79016,                0.69022,                  0.784,                0.48894,                 1.3258,                0.96122,                 1.3744,              0.0005348,              0.0005348,              0.0005348
                     76,                0.68398,                0.52778,                0.99846,                0.72931,                0.68821,                0.73388,                0.46589,                 1.3357,                 0.9884,                 1.3838,               0.000515,               0.000515,               0.000515
